Time_dif_hour;Temperature(C)
0;26,8
0,25;25,2
0,5;20,9
0,75;16,7
1;12,5
1,25;8,5
1,5;4,9
1,75;1,6
2;-1,2
2,25;-3,8
2,5;-5,7
2,75;-6,1
3;-5,1
3,25;-5
3,5;-5
3,75;-5
4;-5
4,25;-5
4,5;-5
4,75;-5
5;-5,5
5,25;-5,5
5,5;-5,8
5,75;-6
6;-6,4
6,25;-6,6
6,5;-7
6,75;-7,5
7;-7,9
7,25;-8,4
7,5;-8,9
7,75;-9,5
8;-10,1
8,25;-10,6
8,5;-11,2
8,75;-11,8
9;-12,2
9,25;-12,5
9,5;-12,9
9,75;-13,3
10;-13,7
10,25;-14,2
10,5;-14,6
10,75;-15,1
11;-15,5
11,25;-16
11,5;-16,3
11,75;-16,6
12;-17
12,25;-17,3
12,5;-17,5
12,75;-18
13;-18
13,25;-18
13,5;-18
13,75;-18
14;-18,4
14,25;-18,5
14,5;-18,6
14,75;-19
15;-19
15,25;-19
15,5;-19,5
15,75;-19,5
16;-19,5
16,25;-19,5
16,5;-19,7
16,75;-20
17;-20
17,25;-20
17,5;-19,5
17,75;-19,5
18;-19,5
18,25;-19,6
18,5;-20
18,75;-20
19;-20
19,25;-20
19,5;-20
19,75;-20
20;-20
20,25;-20
20,5;-20
20,75;-20
21;-20
21,25;-20
21,5;-19,5
21,75;-19
22;-19,3
22,25;-19,5
22,5;-19,5
22,75;-19,8
23;-20
23,25;-20
23,5;-20
23,75;-20
24;-20
24,25;-20
24,5;-20
